KilometresDriveToCBD,Suburb,TotalDwellings2004,TotalDwellings2005,TotalDwellings2006,TotalDwellings2007,TotalDwellings2008,TotalDwellings2009,TotalDwellings2010,TotalDwellings2011,TotalDwellings2012,TotalDwellings2013,TotalDwellings2014,TotalDwellings2015,TotalDwellings2016,Houses2004,Houses2005,Houses2006,Houses2007,Houses2008,Houses2009,Houses2010,Houses2011,Houses2012,Houses2013,Houses2014,Houses2015,Houses2016,Units2004,Units2005,Units2006,Units2007,Units2008,Units2009,Units2010,Units2011,Units2012,Units2013,Units2014,Units2015,Units2016,Apartments2004,Apartments2005,Apartments2006,Apartments2007,Apartments2008,Apartments2009,Apartments2010,Apartments2011,Apartments2012,Apartments2013,Apartments2014,Apartments2015,Apartments2016,Retirement Village Units2004,Retirement Village Units2005,Retirement Village Units2006,Retirement Village Units2007,Retirement Village Units2008,Retirement Village Units2009,Retirement Village Units2010,Retirement Village Units2011,Retirement Village Units2012,Retirement Village Units2013,Retirement Village Units2014,Retirement Village Units2015,Retirement Village Units2016,ConstructionValue2004,ConstructionValue2005,ConstructionValue2006,ConstructionValue2007,ConstructionValue2008,ConstructionValue2009,ConstructionValue2010,ConstructionValue2011,ConstructionValue2012,ConstructionValue2013,ConstructionValue2014,ConstructionValue2015,ConstructionValue2016
,Brooklyn,18,37,20,26,18,11,4,5,3,13,9,6,13,9,30,9,13,6,6,1,1,2,10,8,6,13,5,7,10,7,12,5,3,4,1,3,1,0,0,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7092620,10973380,8787350,12670572,9095805,7630280,3844456,5835850,6465220,7352975,6677257,6500756,12016078
,Newtown,17,14,35,68,31,13,4,57,54,2,7,29,18,8,4,4,2,2,2,1,1,6,1,2,1,1,6,10,23,52,27,10,1,28,7,1,0,28,17,3,0,8,14,2,1,2,28,41,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17922585,147845144,27886606,14963250,21947060,37951070,32826682,65857975,25691120,19808701,10180480,15973120,9106000
,Wadestown,3,5,3,8,3,4,5,6,1,8,2,5,2,3,4,1,2,3,4,3,2,0,5,2,2,1,0,1,2,6,0,0,1,4,1,3,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3613750,4758510,4685900,5759372,5755510,7313761,6551800,5445800,4812280,5858450,3467233,7723000,6337274
4km,Northland,8,5,2,4,2,3,2,5,0,0,5,3,4,3,3,0,0,1,1,2,4,0,0,5,3,2,3,2,2,1,1,0,0,1,0,0,0,0,2,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2244053,3270820,2358728,5498039,3100773,2872358,5010400,2514380,2155786,2130000,6184900,2196628,5048570
,Mornington,2,2,0,0,0,2,2,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,2,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869037,610000,651500,461383,433300,1146681,848600,323475,291500,1677721,690000,71000,895600
,Kaiwharawhara,12,10,4,5,6,3,8,8,5,9,12,8,2,9,8,4,5,4,3,4,8,5,9,10,6,2,3,2,0,0,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5026117,9096700,2629100,3351000,3699000,1393561,2595673,6112540,1936000,3694250,6038806,4180000,1143000
,Berhampore,5,0,42,6,4,1,5,2,2,7,36,10,37,2,0,0,0,4,0,5,0,0,1,0,8,3,1,0,7,6,0,1,0,2,2,4,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,35,0,0,0,0,0,0,0,34,0,34,1599485,3775780,5668432,1667735,8225051,1323692,6029000,1999000,7342000,4663539,16356706,4082740,11859900
,Kilbirnie,47,3,2,1,7,0,1,0,2,5,48,1,0,2,3,2,0,1,0,1,0,2,1,1,1,0,0,0,0,1,6,0,0,0,0,0,7,0,0,21,0,0,0,0,0,0,0,0,4,40,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,8865155,12019100,5248761,3814500,4822387,42929395,5745760,4415147,3328000,6332475,7783000,7480590,16081800
5km,Kingston,0,2,1,0,0,1,1,2,0,1,0,2,0,0,2,0,0,0,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69500,940100,225700,105500,667000,88000,272640,433000,381000,436000,25000,1138780,67000
,Melrose,5,3,2,2,1,2,5,1,1,0,3,0,4,2,1,1,1,1,0,5,1,1,0,2,0,0,3,2,1,1,0,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695024,1554800,669350,1045700,1775900,990000,2327440,1301738,887000,555000,1614000,629950,3800400
