Year,TotalDwellingsAro Valley,TotalDwellingsBerhampore,TotalDwellingsBreaker Bay,TotalDwellingsBroadmeadows,TotalDwellingsBrooklyn,TotalDwellingsChurton Park,TotalDwellingsCrofton Downs,TotalDwellingsGlenside,TotalDwellingsGrenada North,TotalDwellingsGrenada Village,TotalDwellingsHataitai,TotalDwellingsHighbury,TotalDwellingsHorokiwi,TotalDwellingsHoughton Bay,TotalDwellingsIsland Bay,TotalDwellingsJohnsonville,TotalDwellingsKaiwharawhara,TotalDwellingsKaraka Bays,TotalDwellingsKarori,TotalDwellingsKelburn,TotalDwellingsKhandallah,TotalDwellingsKilbirnie,TotalDwellingsKingston,TotalDwellingsLyall Bay,TotalDwellingsMakara,TotalDwellingsMakara Beach,TotalDwellingsMaupuia,TotalDwellingsMelrose,TotalDwellingsMiramar,TotalDwellingsMoa Point,TotalDwellingsMornington,TotalDwellingsMt Cook,TotalDwellingsMt Victoria,TotalDwellingsNewlands,TotalDwellingsNewtown,TotalDwellingsNgaio,TotalDwellingsNgauranga,TotalDwellingsNorthland,TotalDwellingsOhariu,TotalDwellingsOriental Bay,TotalDwellingsOwhiro Bay,TotalDwellingsPaparangi,TotalDwellingsPipitea,TotalDwellingsRongotai,TotalDwellingsRoseneath,TotalDwellingsSeatoun,TotalDwellingsSouthgate,TotalDwellingsStrathmore Park,TotalDwellingsTakapu Valley,TotalDwellingsTawa,TotalDwellingsTe Aro,TotalDwellingsThorndon,TotalDwellingsVogeltown,TotalDwellingsWadestown,TotalDwellingsWellington Central,TotalDwellingsWilton,TotalDwellingsWoodridge,TotalDwellingsWellington City Total,HousesAro Valley,HousesBerhampore,HousesBreaker Bay,HousesBroadmeadows,HousesBrooklyn,HousesChurton Park,HousesCrofton Downs,HousesGlenside,HousesGrenada North,HousesGrenada Village,HousesHataitai,HousesHighbury,HousesHorokiwi,HousesHoughton Bay,HousesIsland Bay,HousesJohnsonville,HousesKaiwharawhara,HousesKaraka Bays,HousesKarori,HousesKelburn,HousesKhandallah,HousesKilbirnie,HousesKingston,HousesLyall Bay,HousesMakara,HousesMakara Beach,HousesMaupuia,HousesMelrose,HousesMiramar,HousesMoa Point,HousesMornington,HousesMt Cook,HousesMt Victoria,HousesNewlands,HousesNewtown,HousesNgaio,HousesNgauranga,HousesNorthland,HousesOhariu,HousesOriental Bay,HousesOwhiro Bay,HousesPaparangi,HousesPipitea,HousesRongotai,HousesRoseneath,HousesSeatoun,HousesSouthgate,HousesStrathmore Park,HousesTakapu Valley,HousesTawa,HousesTe Aro,HousesThorndon,HousesVogeltown,HousesWadestown,HousesWellington Central,HousesWilton,HousesWoodridge,HousesWellington City Total,UnitsAro Valley,UnitsBerhampore,UnitsBreaker Bay,UnitsBroadmeadows,UnitsBrooklyn,UnitsChurton Park,UnitsCrofton Downs,UnitsGlenside,UnitsGrenada North,UnitsGrenada Village,UnitsHataitai,UnitsHighbury,UnitsHorokiwi,UnitsHoughton Bay,UnitsIsland Bay,UnitsJohnsonville,UnitsKaiwharawhara,UnitsKaraka Bays,UnitsKarori,UnitsKelburn,UnitsKhandallah,UnitsKilbirnie,UnitsKingston,UnitsLyall Bay,UnitsMakara,UnitsMakara Beach,UnitsMaupuia,UnitsMelrose,UnitsMiramar,UnitsMoa Point,UnitsMornington,UnitsMt Cook,UnitsMt Victoria,UnitsNewlands,UnitsNewtown,UnitsNgaio,UnitsNgauranga,UnitsNorthland,UnitsOhariu,UnitsOriental Bay,UnitsOwhiro Bay,UnitsPaparangi,UnitsPipitea,UnitsRongotai,UnitsRoseneath,UnitsSeatoun,UnitsSouthgate,UnitsStrathmore Park,UnitsTakapu Valley,UnitsTawa,UnitsTe Aro,UnitsThorndon,UnitsVogeltown,UnitsWadestown,UnitsWellington Central,UnitsWilton,UnitsWoodridge,UnitsWellington City Total,ApartmentsAro Valley,ApartmentsBerhampore,ApartmentsBreaker Bay,ApartmentsBroadmeadows,ApartmentsBrooklyn,ApartmentsChurton Park,ApartmentsCrofton Downs,ApartmentsGlenside,ApartmentsGrenada North,ApartmentsGrenada Village,ApartmentsHataitai,ApartmentsHighbury,ApartmentsHorokiwi,ApartmentsHoughton Bay,ApartmentsIsland Bay,ApartmentsJohnsonville,ApartmentsKaiwharawhara,ApartmentsKaraka Bays,ApartmentsKarori,ApartmentsKelburn,ApartmentsKhandallah,ApartmentsKilbirnie,ApartmentsKingston,ApartmentsLyall Bay,ApartmentsMakara,ApartmentsMakara Beach,ApartmentsMaupuia,ApartmentsMelrose,ApartmentsMiramar,ApartmentsMoa Point,ApartmentsMornington,ApartmentsMt Cook,ApartmentsMt Victoria,ApartmentsNewlands,ApartmentsNewtown,ApartmentsNgaio,ApartmentsNgauranga,ApartmentsNorthland,ApartmentsOhariu,ApartmentsOriental Bay,ApartmentsOwhiro Bay,ApartmentsPaparangi,ApartmentsPipitea,ApartmentsRongotai,ApartmentsRoseneath,ApartmentsSeatoun,ApartmentsSouthgate,ApartmentsStrathmore Park,ApartmentsTakapu Valley,ApartmentsTawa,ApartmentsTe Aro,ApartmentsThorndon,ApartmentsVogeltown,ApartmentsWadestown,ApartmentsWellington Central,ApartmentsWilton,ApartmentsWoodridge,ApartmentsWellington City Total,Retirement Village UnitsAro Valley,Retirement Village UnitsBerhampore,Retirement Village UnitsBreaker Bay,Retirement Village UnitsBroadmeadows,Retirement Village UnitsBrooklyn,Retirement Village UnitsChurton Park,Retirement Village UnitsCrofton Downs,Retirement Village UnitsGlenside,Retirement Village UnitsGrenada North,Retirement Village UnitsGrenada Village,Retirement Village UnitsHataitai,Retirement Village UnitsHighbury,Retirement Village UnitsHorokiwi,Retirement Village UnitsHoughton Bay,Retirement Village UnitsIsland Bay,Retirement Village UnitsJohnsonville,Retirement Village UnitsKaiwharawhara,Retirement Village UnitsKaraka Bays,Retirement Village UnitsKarori,Retirement Village UnitsKelburn,Retirement Village UnitsKhandallah,Retirement Village UnitsKilbirnie,Retirement Village UnitsKingston,Retirement Village UnitsLyall Bay,Retirement Village UnitsMakara,Retirement Village UnitsMakara Beach,Retirement Village UnitsMaupuia,Retirement Village UnitsMelrose,Retirement Village UnitsMiramar,Retirement Village UnitsMoa Point,Retirement Village UnitsMornington,Retirement Village UnitsMt Cook,Retirement Village UnitsMt Victoria,Retirement Village UnitsNewlands,Retirement Village UnitsNewtown,Retirement Village UnitsNgaio,Retirement Village UnitsNgauranga,Retirement Village UnitsNorthland,Retirement Village UnitsOhariu,Retirement Village UnitsOriental Bay,Retirement Village UnitsOwhiro Bay,Retirement Village UnitsPaparangi,Retirement Village UnitsPipitea,Retirement Village UnitsRongotai,Retirement Village UnitsRoseneath,Retirement Village UnitsSeatoun,Retirement Village UnitsSouthgate,Retirement Village UnitsStrathmore Park,Retirement Village UnitsTakapu Valley,Retirement Village UnitsTawa,Retirement Village UnitsTe Aro,Retirement Village UnitsThorndon,Retirement Village UnitsVogeltown,Retirement Village UnitsWadestown,Retirement Village UnitsWellington Central,Retirement Village UnitsWilton,Retirement Village UnitsWoodridge,Retirement Village UnitsWellington City Total,ConstructionValueAro Valley,ConstructionValueBerhampore,ConstructionValueBreaker Bay,ConstructionValueBroadmeadows,ConstructionValueBrooklyn,ConstructionValueChurton Park,ConstructionValueCrofton Downs,ConstructionValueGlenside,ConstructionValueGrenada North,ConstructionValueGrenada Village,ConstructionValueHataitai,ConstructionValueHighbury,ConstructionValueHorokiwi,ConstructionValueHoughton Bay,ConstructionValueIsland Bay,ConstructionValueJohnsonville,ConstructionValueKaiwharawhara,ConstructionValueKaraka Bays,ConstructionValueKarori,ConstructionValueKelburn,ConstructionValueKhandallah,ConstructionValueKilbirnie,ConstructionValueKingston,ConstructionValueLyall Bay,ConstructionValueMakara,ConstructionValueMakara Beach,ConstructionValueMaupuia,ConstructionValueMelrose,ConstructionValueMiramar,ConstructionValueMoa Point,ConstructionValueMornington,ConstructionValueMt Cook,ConstructionValueMt Victoria,ConstructionValueNewlands,ConstructionValueNewtown,ConstructionValueNgaio,ConstructionValueNgauranga,ConstructionValueNorthland,ConstructionValueOhariu,ConstructionValueOriental Bay,ConstructionValueOwhiro Bay,ConstructionValuePaparangi,ConstructionValuePipitea,ConstructionValueRongotai,ConstructionValueRoseneath,ConstructionValueSeatoun,ConstructionValueSouthgate,ConstructionValueStrathmore Park,ConstructionValueTakapu Valley,ConstructionValueTawa,ConstructionValueTe Aro,ConstructionValueThorndon,ConstructionValueVogeltown,ConstructionValueWadestown,ConstructionValueWellington Central,ConstructionValueWilton,ConstructionValueWoodridge,ConstructionValueWellington City Total
2014,4,36,2,2,9,48,3,0,0,15,12,0,0,5,8,43,12,3,8,6,16,48,0,7,3,0,1,3,30,1,1,24,4,13,7,10,0,5,2,0,2,6,0,0,4,3,1,2,0,15,33,26,2,2,36,1,20,544,1,0,0,2,8,47,1,0,0,15,12,0,0,2,8,17,10,3,4,2,8,1,0,2,3,0,1,2,10,1,1,0,2,13,2,7,0,5,2,0,1,4,0,0,3,3,0,1,0,9,1,6,2,2,0,1,16,241,2,2,2,0,1,1,2,0,0,0,0,0,0,3,0,26,0,0,4,4,8,7,0,5,0,0,0,1,20,0,0,0,2,0,0,3,0,0,0,0,1,2,0,0,1,0,1,1,0,6,2,11,0,0,0,0,4,122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,40,0,0,0,0,0,0,0,0,0,24,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,9,0,0,36,0,0,147,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2221872,16356706,851500,1126350,6677257,18168157,1831000,519000,1600000,10178380,7610267,394450,70000,1911920,8822508,16403648,6038806,2203000,9886783,13370815,12640340,7783000,25000,3471000,1858000,125000,1367900,1614000,17336903,275000,690000,24676849,12295736,5913381,10180480,10539486,1005495,6184900,1810664,1830886,952000,2783900,13815321,26409246,5264244,5629000,258000,1877100,277192,9534853,35692030,75953690,1150000,3467233,153854077,1370500,5597000,591751825
2015,9,10,1,4,6,64,27,0,0,13,20,1,2,1,23,43,8,1,17,5,19,1,2,0,5,0,1,0,25,0,0,40,3,27,29,4,0,3,2,0,4,3,0,0,0,15,5,7,0,23,33,3,2,5,104,1,19,640,7,8,1,2,6,57,5,0,0,13,5,1,2,1,3,26,6,1,13,4,8,1,2,0,5,0,1,0,5,0,0,3,2,17,1,2,0,3,2,0,4,1,0,0,0,12,3,3,0,18,0,1,2,2,0,1,19,279,2,2,0,2,0,7,22,0,0,0,15,0,0,0,20,17,2,0,4,1,11,0,0,0,0,0,0,0,20,0,0,5,0,10,28,2,0,0,0,0,0,2,0,0,0,1,2,4,0,5,8,1,0,3,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25,1,0,0,104,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3111120,4082740,430000,1784680,6500756,23467851,6371473,80000,394000,3942541,12573300,528600,960883,2094000,10845012,15662817,4180000,1309040,18372287,99098068,12806416,7480590,1138780,1811990,1780760,175000,722000,629950,9747010,0,71000,12751000,15132629,11019654,15973120,4114490,535000,2196628,1248600,2779000,2206000,1442500,27271874,48920150,4651900,11608300,2031875,4594000,191000,10556031,70773948,31987466,714000,7723000,80089956,1280000,4874200,628818985
2016,4,37,2,2,13,38,2,0,0,44,6,2,0,1,15,26,2,2,13,3,21,0,0,1,1,0,1,4,36,0,1,98,31,37,18,7,1,4,2,0,1,7,0,0,3,7,0,3,0,34,147,7,1,2,23,1,28,739,2,3,2,2,13,31,2,0,0,44,5,0,0,1,5,13,2,2,6,1,12,0,0,1,1,0,0,0,4,0,1,3,0,34,1,6,0,2,2,0,1,7,0,0,3,6,0,3,0,11,4,4,0,1,0,1,28,270,2,0,0,0,0,7,0,0,0,0,1,2,0,0,10,13,0,0,7,2,6,0,0,0,0,0,1,4,22,0,0,2,1,3,17,1,1,2,0,0,0,0,0,0,0,1,0,0,0,19,3,1,1,1,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,93,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,140,2,0,0,23,0,0,305,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2179850,11859900,1240000,813000,12016078,15044375,1984000,94995,115000,18205705,7808186,568000,80500,2337400,14328345,15607881,1143000,999800,17748975,6405640,20861808,16081800,67000,2133325,1173580,5000,1234500,3800400,18342436,0,895600,19731600,23496732,17841227,9106000,7600700,8862962,5048570,2138410,9740688,1073000,2826000,98511250,50863000,5493475,7883549,830000,5623350,330000,14231221,128517308,11661340,1140500,6337274,102053468,832000,7658300,744608003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
